product_name,quantity,nutrition-score-fr_100g,nutriscore_score,nutriscore_grade,brands,origins,ingredients_text,countries,labels,energy-kcal_100g,fat_100g,saturated-fat_100g,carbohydrates_100g,sugars_100g,sodium_100g,additives,vitamin-c_100g,nova_group,pnns_groups_1,pnns_groups_2
Pur jus réfrigéré orange et mangue,1 l,4.0,4.0,c,U,,"Jus d'orange 80%, purée mangue 20%",France,"en:FSC, Point Vert, Transformé en France, CSI ",45.0,0.5,0.0,10.0,9.6,0.004,,0.016,1.0,Beverages,Fruit juices
Pur jus d'orange sans pulpe,1 l,2.0,2.0,c,U,Espagne,Jus d'orange.,France,"Point Vert, Conditionné en France, Pur jus, Transformé en France, Eco-Emballages, Recyclé plastique, Sans pulpe",42.0,0.5,0.0,9.4,8.7,0.012,,0.02,1.0,Beverages,Fruit juices
Pur jus d'orange sans pulpe,4 bouteilles en plastique de 1 l,2.0,2.0,c,U,,Jus d'orange. L'ingrédient de ce produit ne provient pas de la France,France,"Conditionné en France, Transformé en France, Recyclé plastique",41.0,0.5,0.0,9.4,8.7,0.012,,0.02,1.0,Beverages,Fruit juices
Pur jus d'orange sans pulpe,1 l,4.0,4.0,c,"U Bio, U",Espagne,Jus d'orange sans pulpe*. *ingrédient issu de l'agriculture biologique.,France,"Bio, Bio européen, AB Agriculture Biologique, Agriculture UE/Non UE, en:FSC, Sans sucre ajouté, Sans colorants, Sans conservateurs ",45.0,0.5,0.1,11.0,10.0,0.004,,0.02,1.0,Beverages,Sweetened beverages
Pur jus d'orange des Amériques,4 x 1 l,3.0,3.0,c,U,,Jus d'orange,France,"en:FSC, Transformé en France ",43.0,0.0,0.0,10.0,8.0,0.012,,,1.0,Beverages,Fruit juices
Pur jus d'orange sans pulpe,1 l,1.0,1.0,b,U,,Jus d'orange sans pulpe.,France,"en:FSC, Sans colorants ",35.0,0.5,0.1,8.1,8.1,0.004,,0.024,1.0,Beverages,Fruit juices
Pur jus orange mandarine raisin blanc,2 l,6.0,6.0,d,U,,Jus d'orange de mandarine et de raisin blanc.,France,"en:FSC,Transformé en France",50.0,0.5,0.1,11.0,11.0,0.004,,0.02,,Beverages,Fruit juices
Pur jus d'orange des Amériques,1 l,3.0,3.0,c,U,Amériques,Jus d'orange,France,"en:FSC, Point Vert, Transformé en France ",43.0,0.0,0.0,10.0,8.0,0.012,,,1.0,Beverages,Fruit juices
Pur jus orange sans pulpe,2 l,2.0,2.0,c,U,?,Jus d'orange.,France,"en:FSC, Riche en vitamine C, Transformé en France, Triman, Pont vert, Pure-Pak ",41.0,0.5,0.0,9.4,8.7,0.012,,0.02,1.0,Beverages,Fruit juices
Pur jus d'orange avec pulpe,1 l,2.0,2.0,c,U,,"Jus d'orange, pulpes d'orange (3 %).",France,"No added sugar, Nutriscore, Transformed in France, fr:Recyclé plastique, en:nutriscore-grade-c",41.0,0.5,0.0,9.4,8.7,0.012,,0.02,1.0,Beverages,Fruit juices
Pur jus d'orange avec pulpe réfrigéré,50 cl,3.0,3.0,c,U,,"Jus d'orange 97%, pulpe 3%.",France,"en:FSC, Transformé en France ",41.0,0.0,0.0,9.4,8.7,0.12,,0.02,1.0,Beverages,Fruit juices
Pur jus d'orange sans pulpe,"1,5 l",4.0,4.0,c,U,,Jus d'orange.,France,"Transformé en France, Recyclé plastique",47.0,0.2,0.0,10.6,9.5,0.012,,0.028,1.0,Beverages,Fruit juices
Pur jus orange,4 x 20 cl,4.0,4.0,c,U,,Jus d'orange.,France,Transformé en France,45.0,0.1,0.0,10.4,9.4,0.012,,,1.0,Beverages,Fruit juices
Pur jus d'oranges sanguines pressées,1 l,2.0,2.0,c,U,,Jus d'orange sanguine.,France,"en:FSC, en:fsc-c100482, Sans colorants, Pur jus, Riche en vitamine C, Transformé en France, CSI Food Contact ",41.0,0.0,0.0,9.4,8.7,0.012,,0.045,1.0,Beverages,Fruit juices
Pur jus orange et Fruits poire clémentine,1 l,4.0,4.0,c,U,,"Jus et purée de fruits : orange 53%, poire 30% et clémentine 17%.",France,"Riche en vitamine C, Transformé en France, Recycle-plastique",49.0,0.2,0.0,11.0,9.9,0.002,,0.012,1.0,Beverages,Fruit juices
Pur jus orange et Fruits ananas pêche,1 l,5.0,5.0,c,U,,"Jus et purée de fruits : orange 42%, ananas 42% et pêche 16%.",France,"Transformé en France, Recyclé plastique",51.0,0.2,0.0,11.4,10.3,0.002,,0.012,1.0,Beverages,Fruit juices
Pur jus orange et fruits mangue goyave,1 l,6.0,6.0,d,U,,"Jus et purées de fruits : orange 52.6%, raisin 26.3%, mangue 13.1% et goyave 8%.",France,"Transformé en France, Source-de-vitamine-c, Recyclé plastique",54.0,0.2,0.0,12.1,10.9,0.002,,0.009,1.0,Beverages,Fruit juices
Pur jus orange et Fruits orange abricot kiwi,1 l,6.0,6.0,d,U,,"Jus et purées de fruits : orange 37.4%, raisin 37.4%, abricot 20.4% et kiwi 4.8%.",France,"Transformé en France, Recyclé plastique",55.0,0.2,0.0,12.3,11.1,0.002,,0.008,1.0,Beverages,Fruit juices
Pur jus d'orange sans pulpe,"4 x 1,5 l",4.0,4.0,c,U,,Jus d'orange.,France,"Transformé en France, Recyclé plastique",47.0,0.2,0.0,10.6,9.5,0.01,,0.028,1.0,Beverages,Fruit juices
Pur jus d'orange de raisin et de fruit de la passion,1 l,2.0,2.0,c,U,,"Jus d orange 85%, jus de raisin blanc 11%, purée de fruit de la passion 4%.",France,,40.0,0.0,0.0,9.3,9.0,0.0,,,1.0,Beverages,Fruit juices
"Pur jus de pomme, orange sanguine, cassis pasteurisé réfrigéré",1 l,5.0,5.0,c,U,,"Jus de pomme 35%, jus de raisin 35%, jus d'orange sanguine 25%, jus de cassis 5%.",France,"en:FSC, Point Vert, Pur jus ",,0.1,0.0,11.2,11.2,0.0,,,1.0,Beverages,Fruit juices
100 % Pur jus d'orange avec pulpe,1 l,1.0,1.0,b,U,,"Jus d'orange 98%, pulpe d'orange 2%.",France,"Point Vert, Pur jus, Triman, Recyclé plastique",35.0,0.5,0.1,8.1,8.1,0.004,,0.02,1.0,Beverages,Fruit juices
Pur jus d'orange,,1.0,1.0,b,U,,,France,,35.0,0.5,0.1,8.1,8.1,0.0,,,,Beverages,Fruit juices
Pur jus d'orange sans pulpe,50 cl,3.0,3.0,c,U,Import,Jus d'orange.,France,"Point Vert, Fabriqué en France, Pur jus, Riche en vitamine C, Transformé en France, Triman",45.0,0.5,0.0,9.4,8.7,0.012,,0.02,1.0,Beverages,Fruit juices
Boisson aux jus de fruits plate orange,6 bouteilles de 25 cl,9.0,9.0,d,U,"France,Hors France","Eau de source (France) 84,2%, jus de fruits à base de concentrés 12% (orange 10%, pomme 2%), sucre, acidifiants : acide citrique et acide malique, arôme naturel d'orange avec autres arômes naturels, arômes naturels, concentrés de carotte, antioxydant : acide ascorbique.",France,"Point Vert, Sans conservateurs, Transformé en France, Recyclé plastique",28.0,0.5,0.1,6.4,6.4,0.012,,,4.0,Beverages,Sweetened beverages
Pur jus cocktail d'agrumes orange mandarine et pamplemousse rose issude l'agriculture biologique,1 l,2.0,2.0,c,"U Bio,U",,"Jus d'orange* 63%, jus de mandarine* 25%, jus de pamplemousse rose* 12%. *ingrédient issu de l'agriculture biologique.",France,"Organic, EU Organic, Non-EU Agriculture, ES-ECO-024-MU, EU Agriculture, EU/non-EU Agriculture, FSC , en:ab-agriculture-biologique",40.0,0.5,0.1,9.0,8.1,0.004,,,1.0,Beverages,Sweetened beverages
Pur jus orange clementine raisin blanc,1 l,5.0,5.0,c,"U Bio, U",,"Jus d'orange* 50%, de clémentine* 40% et de raisin blanc* 10%. * Ingrédient issu de l'agriculture biologique.",France,"Bio, Transformé en France ",46.0,0.5,0.1,11.0,11.0,0.004,,,1.0,Beverages,Sweetened beverages
Pur jus d'orange sans pulpe,2 l,4.0,4.0,c,U,,Jus d'orange.,France,"Point Vert, Fabriqué en France, Conditionné en France, Pur jus, Riche en vitamine C, Recyclé plastique",47.0,0.2,0.0,10.6,9.5,0.01,,0.028,1.0,Beverages,Fruit juices
Pur jus réfrigéré orange pulpée flash pasteurisé,"1,50 l",2.0,2.0,c,U,,"Jus d'orange 97%, pulpe 3%.",France,"en:FSC, Transformé en France ",41.0,0.0,0.0,9.4,8.7,0.0,,0.02,1.0,Beverages,Fruit juices
Pur jus clémentine orange raisin,1 l,5.0,5.0,c,U,,"Jus de clémentine 70%, jus d'orange 15% , jus de raisin blanc 15%.",France,Transformé en France,48.0,0.5,0.1,11.0,11.0,0.004,,,1.0,Beverages,Fruit juices
Pur jus d'orange sans pulpe,"1,5 l",3.0,3.0,c,U,,Jus d'orange 100%,France,"en:FSC, Conditionné en France ",45.0,0.5,0.1,8.7,8.7,0.004,,,1.0,Beverages,Fruit juices
"Pur jus d'orange avec pulpe flash pasteurisé, réfrigéré","1,5 l",1.0,1.0,b,U,,"Jus d'orange 98%, pulpe d'orange 2%.",France,"DEMARCHE FLEG METIERS, Recyclé plastique",35.0,0.5,0.1,8.1,8.1,0.0,,,1.0,Beverages,Fruit juices
"Pur jus d'orange sans pulpe flash pasteurisé, réfrigéré","1,5 l",-4.0,-4.0,a,U,oranges,Jus d'orange 100%,France,"DEMARCHE FLEG METIERS, Recyclé plastique",35.0,0.5,0.1,8.1,8.1,0.004,,0.02,1.0,unknown,unknown
Pur jus d'orange,1l,1.0,1.0,b,U,,Jus d'orange 100%,France,,35.0,0.5,0.1,8.1,8.1,0.004,,0.02,1.0,Beverages,Fruit juices
Pur jus d'orange sans pulpe flash paseurisé,"1,75 l",4.0,4.0,c,U,,Jus d'orange sans pulpe.,France,en:FSC ,54.0,0.5,0.1,8.1,8.1,0.04,,,1.0,Beverages,Fruit juices
Pur jus réfrigéré orange pulpée flash pasteurisé,"1,75 l",1.0,1.0,b,U,,Jus d'orange 98% et pulpe d'orange 2%,France,en:FSC ,35.0,0.5,0.1,8.1,8.1,0.004,,0.02,1.0,Beverages,Fruit juices
Pur jus d'orange sans pulpe,4 x 2 l prix choc,4.0,4.0,c,U,,Jus d'orange.,France,"Conditionné en France, Recyclé plastique",47.0,0.2,0.0,10.6,9.5,0.01,,0.028,1.0,Beverages,Unsweetened beverages
Pur jus d'orange sans pulpe,,,,,"U Bio,U",,,France,Organic,41.0,0.5,0.1,8.7,8.7,,,,,Beverages,Fruit juices
Pur jus d'orange sans pulpe,,2.0,2.0,c,"U Bio,U",Spain,,France,"Nutriscore, Nutriscore C",41.0,0.5,0.1,8.7,8.7,0.004,,,,Beverages,Fruit juices
Pur jus d’orange avec pulpe,,,,,,,,France,,35.0,0.5,0.1,8.1,8.1,,,,,unknown,unknown
Pur jus d’orange sans pulpe,,2.0,2.0,c,"U,U Bio",,,France,"Organic,EU Organic,AB Agriculture Biologique",41.0,0.5,0.1,8.7,8.7,0.004,,,,Beverages,Fruit juices
pur jus orange avec pulpe,1 L,2.0,2.0,c,cora,,jus d'orange pulpe (2%),France,,38.0,0.5,0.1,8.7,8.7,0.004,,0.02,1.0,Beverages,Fruit juices
100% pur jus orange,2 L,2.0,2.0,c,Cora,,,France,Point Vert,42.0,0.5,0.0,9.4,8.7,0.024,,0.02,,Beverages,Fruit juices
Pur jus orange,,2.0,2.0,c,Cora,,,France,,41.0,0.5,0.0,9.3999996185303,8.6999998092651,0.0119999997317792,,,,Beverages,Fruit juices
100% Pur jus d'orange,1 L,5.0,5.0,c,Cora,,,France,,47.0,0.5,0.0,10.5,9.5,0.12,,,,Beverages,Fruit juices
100 % pur jus orange Floride pressée avec pulpe,1 L,2.0,2.0,c,Cora,"Floride,Etats Unis","Jus d'orange, pulpe 2,5 %.",France,"Pur jus, Triman, 100 % Pur Fruit Pressé, Info-Tri Point Vert, Naturellement riche en vitamine C, Origine Floride",,0.5,0.0,9.4,8.7,0.012,,0.02,1.0,Beverages,Fruit juices
Pur jus d’orange Bio,,2.0,2.0,c,Cora,,,France,"Bio, Bio européen ",41.0,0.5,0.0,9.4,8.7,0.012,,,,Beverages,Fruit juices
Pur jus d'orange,,2.0,2.0,c,Nature Bio,,,France,"Bio, Bio européen, AB Agriculture Biologique ",42.0,0.5,0.0,9.4,8.7,0.0,,,,Beverages,Fruit juices
Pur jus d'orange,75 cl,2.0,2.0,c,Belle France,,jus d'orange issu de l'agriculture biologique.,France,"Bio, Bio européen, AB Agriculture Biologique ",40.0,0.2,0.0,8.7,8.7,0.0,,,1.0,Beverages,Fruit juices
Pur jus d'orange,1 L,2.0,2.0,c,Belle France,,jus d'orange.,France,"Fabriqué en France, Sans conservateurs, Pur jus",42.0,0.5,0.1,8.7,8.7,0.0,,,1.0,Beverages,Fruit juices
Pur jus orange bio,1 L,2.0,2.0,c,Belle France,,"Jus d'orange*, pulpes d'oranges 3,5%*. *issu de l'agriculture biologique.",France,"Bio, Bio européen, FR-BIO-01, Pur jus ",40.0,0.5,0.0,8.6999998092651,8.6999998092651,0.003999999910593,,,1.0,Beverages,Fruit juices
Belle France jus d'orange de Floride avec pulpe,1 l,2.0,2.0,c,Belle France,Floride,100% pur jus d'orange,France,,41.0,0.1,0.0,9.4,8.7,0.012,,,1.0,Beverages,Fruit juices
Pur jus d orange avec pulpe,1 L,2.0,2.0,c,Belle France,,,France,,40.0,0.5,0.5,8.6999998092651,8.6999998092651,0.003999999910593,,,,Beverages,Fruit juices
1L pur jus d’orange pressée,1 L,2.0,2.0,c,Belle France,,"Jus d'orange, pulpe d'orange 3%.",France,"Sans colorants, Sans conservateurs, Pur jus",42.0,0.0,0.0,8.7,8.7,0.004,,0.02,1.0,Beverages,Fruit juices
Pur jus d'orange Cuba Brésil,1 L,3.0,3.0,c,Leader Price,"Cuba,Brésil",Jus d'orange.,France,,,0.0,0.0,10.2,7.7,0.0,,0.02,1.0,Beverages,Fruit juices
100% pur jus orange bio,1L,4.0,4.0,c,Leader price,,Jus d'oranges issues de l'agriculture biologique.,France,Bio ,46.0,0.0,0.0,11.0,10.0,0.0,,0.012,1.0,Beverages,Fruit juices
Pur jus d'orange et de clémentine,1 L,4.0,4.0,c,Le-prix-gagnant,,Jus d'orange 50% - Jus de clémentine 50%,France,,48.0,0.2,0.0,10.6,9.5,0.01016,,0.016,1.0,Beverages,Fruit juices
Pur jus d'orange,2 L,3.0,3.0,c,Leader price,,Jus d'orange,France,,42.0,0.0,0.0,10.0,9.4,0.012,,0.024,1.0,Beverages,Fruit juices
Pure jus orange avec pulpe,1 L,3.0,3.0,c,Franprix,,,France,,46.0,0.0,0.0,10.5,9.0,0.0,,,,Beverages,Fruit juices
Pur jus orange sans pulpe 100% pur jus,1 L,3.0,3.0,c,Franprix,,Jus d'orange,France,,46.0,0.0,0.0,10.5,9.0,0.0,,,1.0,Beverages,Fruit juices
Pur jus orange,1 L,3.0,3.0,c,Franprix,,Jus d'orange.,France,,48.0,0.0,0.0,11.0,9.0,0.0,,0.04,1.0,Beverages,Fruit juices
pur jus d oranges bio,,4.0,4.0,c,Franprix,,,France,"Bio, Bio européen, AB Agriculture Biologique ",46.0,0.0,0.0,11.0,10.0,0.0,,,,Beverages,Fruit juices
pur jus d oranges,"1,5 L",3.0,3.0,c,Franprix,,Jus d'orange.,France,,42.0,0.0,0.0,10.0,10.0,0.008,,,1.0,Beverages,Fruit juices
Pur jus d'orange,50 cl,4.0,4.0,c,leader price,,Ingrédient jus dorange.,France,,50.0,0.0,0.0,11.2,10.1,0.0,,,,Beverages,Fruit juices
pur jus d oranges bio,1 L,2.0,2.0,c,Franprix,,"Jus d'orange, pulpe d'orange 3,5%.",France,"Bio, Bio européen, FR-BIO-01, Pur jus, AB Agriculture Biologique ",40.0,0.0,0.0,9.4,8.7,0.012,,,1.0,Beverages,Fruit juices
Pur jus d'orange,,7.0,7.0,d,Leader Price,,Jus d'orange.,France,"Bio, Bio européen, AB Agriculture Biologique ",74.0,0.0,0.0,11.0,10.0,0.012,,,1.0,Beverages,Fruit juices
Jus d'orange pur jus sans pulpe,50 cl,,,,Leader Price,,Jus d'orange.,France,Riche en vitamine C,46.0,,,10.2,10.2,0.012,,0.024,1.0,Beverages,Fruit juices
100% Pur jus d'orange,1 L,4.0,4.0,c,Leader Price,,Jus d'oranges issues de l'agriculture biologique,France,"Bio, Bio européen, Agriculture UE, FR-BIO-01, AB Agriculture Biologique ",47.0,0.0,0.0,11.0,10.0,0.0,,,1.0,Beverages,Fruit juices
Pur jus orange sans pulpe 2L,2 L,3.0,3.0,c,Leader Price,,,France,,42.0,0.0,0.0,10.0,9.3999996185303,0.0119999997317792,,,,Beverages,Fruit juices
Pur jus d'orange du Brésil,1 L,2.0,2.0,c,leader Price,,Jus d'orange,France,,40.0,0.0,0.0,8.1000003814697,8.1000003814697,0.0,,0.02,1.0,Beverages,Fruit juices
Pur jus d'orange,,4.0,4.0,c,Leader Price,,,France,,47.0,0.0,0.0,10.3,9.3,0.0,,,,Beverages,Fruit juices
Pur jus d'orange,1L,2.0,2.0,c,Leader Price,,Jus d'orange,France,,38.0,0.5,0.0,8.3,8.3,0.0,,0.024,1.0,Beverages,Fruit juices
100% pur jus Bio orange avec pulpe,1 L,1.0,1.0,b,Franprix,,,France,"Bio européen,AB Agriculture Biologique,Nutriscore B,FSC Mix",34.0,0.0,0.0,8.5,8.5,0.0,,,,Beverages,Fruit juices
Pur jus d'orange bio,,3.0,3.0,c,Franprix,,,France,"Bio,Nutriscore,Nutriscore C,AB Agriculture Biologique,FR-BIO-01",39.0,0.0,0.0,9.1,9.1,0.0,,,,Beverages,Fruit juices
100% pur jus d'orange,,4.0,4.0,c,Leader Price,,,France,,47.0,0.0,0.0,11.0,10.0,0.0,,,,Beverages,Fruit juices
Jus d'orange 100% pur jus,"1,5 L e",,,,Leader Price,,Jus d'orange,France,"Point Vert, Pur jus, Triman",46.0,,,10.8,9.0,0.04,,0.024,1.0,Beverages,Fruit juices
Pur jus d'orange pressée sans pulpe,,3.0,3.0,c,Leader Price,,Jus d'orange,France,,45.0,0.1,0.1,10.8,9.0,0.04,,0.024,1.0,Beverages,Fruit juices
Pur jus orange mandarine raisin,1l,3.0,3.0,c,Leader Price,,Jus d'orange 47% - jus de mandarine 36% - jus de raisin - purée de banane 7%.,France,,42.0,0.01,0.01,10.4,10.4,0.004,,,1.0,Beverages,Fruit juices
100% pur jus orange sanguine,1 L,4.0,4.0,c,Franprix,,,France,,49.0,0.079999998211861,0.0099999997764826,9.5,9.5,0.003999999910593,,,,Beverages,Fruit juices
100% pur jus orange avec pulpe,,,,,Franprix,,,France,,41.0,0.5,0.1,8.3,8.3,,,,,Beverages,Fruit juices
pur jus d oranges sans pulpe,,2.0,2.0,c,Franprix,,,France,,41.0,0.5,0.1,8.3,8.3,0.004,,,,Beverages,Fruit juices
Pur jus d'orange sanguine de Sicile pressée avec pulpe,1 l,,,,Leader Price,,"Jus d'orange sanguine de Sicile, pulpe 3%.",France,,47.0,,,11.5,10.0,0.0,,0.024,1.0,Beverages,Fruit juices
Pur jus d'orange de Floride pressée avec pulpe,1 l,3.0,3.0,c,leader  price,,Jus d'orange avec pulpe.,France,,,0.0,0.0,10.5,9.0,0.0,,0.024,1.0,Beverages,Fruit juices
Pur jus d'orange sans pulpe 100% purs fruits pressés,1 l,1.0,1.0,b,Leader Price,,Jus d'orange,France,,35.0,0.0,0.0,8.0,8.0,0.004,,0.024,1.0,Beverages,Fruit juices
100% pur jus orange fraise,,2.0,2.0,c,,,,France,,43.0,0.0,0.0,9.7,8.5,0.0,,,,Beverages,Fruit juices
100 % pur jus orange,25 cl,4.0,4.0,c,Franprix,,Jus d'orange 100 %.,France,,,0.0,0.0,10.8,9.3,0.0,,0.0448,1.0,Beverages,Fruit juices
Pur jus d'orange du Brésil avec pulpe,1 l,3.0,3.0,c,Leader Price,,"Jus d'orange du Brésil, pulpe 3 %.",France,Point Vert,45.0,0.0,0.0,10.7,9.0,0.0,,0.024,1.0,Beverages,Fruit juices
100% Pur jus d'orange,1 L,4.0,4.0,c,La vie claire,,,France,"Bio, Bio européen, Agriculture UE/Non UE, Point Vert, AB Agriculture Biologique ",45.0,0.21,0.04,9.4,9.4,0.004,,0.03,,Beverages,Fruit juices
100% pur jus orange,,2.0,2.0,c,La Vie Claire,,,France,"Bio, Bio européen, AB Agriculture Biologique, Sans sucre ajouté, Sans additifs ",43.0,0.2,0.0,9.0,9.0,0.0,,,,Beverages,Fruit juices
100% pur jus presse orange,,1.0,1.0,b,La Vie Claire,,,France,"Bio, Bio européen, AB Agriculture Biologique ",34.0,0.0,0.0,8.6,8.6,0.0,,,,Beverages,Fruit juices
Pur jus d'orange sans pulpe,,2.0,2.0,c,Leader Price,,,France,,42.0,0.8,0.0,7.8,7.8,0.0,,,,Beverages,Fruit juices
100% pur jus d'orange d'Espagne avec pulpe,1 L,3.0,3.0,c,Carrefour,Espagne,"Jus d'orange, pulpe 3%",France,"Fabriqué en Espagne, Sans sucre ajouté",47.0,0.0,0.0,11.5,8.8,0.0,,0.033,1.0,Beverages,Fruit juices
Pur jus d'orange bio,,3.0,3.0,c,Maison Meneau,,UN GESTE U L'HOMME ENSùES,France,Bio ,45.0,0.0,0.0,10.0,8.5,0.0,,,,Beverages,Fruit juices
Pur jus d'orange biologique,,3.0,3.0,c,Meneau,,ORANGE —BIO,France,Bio ,45.0,0.0,0.0,10.0,8.5,0.0,,,1.0,Beverages,Fruit juices
Pur jus d'orange,20 cl,,,,plein fruit,amerique,JUS D'ORANGE,France,"en:FSC, en:produced-in-bretagne, Pur jus, Riche en vitamine C ",45.0,,0.0,11.0,8.0,0.0,,,1.0,Beverages,Fruit juices
Jus D'orange A base de jus d'orange concentré,20 cl,,,,Bopi,,Jus d'orange à base de concentré,France,,47.0,,0.0,11.0,8.0,0.004,,,1.0,Beverages,Fruit juices
Jus D'orange à base de jus concentré,,,,,,,,France,Sans sucre ajouté,45.0,0.0,0.0,11.0,8.0,0.0,,,,unknown,unknown
Pur jus d'orange pressée,6 * 20 cl,3.0,3.0,c,Plein Fruit,,Jus d'orange,France,en:produced-in-bretagne ,45.0,0.0,0.0,11.0,8.0,0.012,,,1.0,Beverages,Fruit juices
Jus D'orange à base de jus d’orange concentré Bopi,,,,,,,,France,,45.0,2.0,0.0,11.0,8.0,0.8,,,,unknown,unknown
Jus d'orange à base de jus d'orange concentré,1 l,,,,"BOPI,Sill",,Jus d'orange à base de jus d'orange concentré.,France,,45.0,,0.0,11.0,8.0,0.0,,,1.0,Beverages,Fruit juices
orange a jus,,,,,Carrefour,,,France,,52.0,0.0,0.0,13.0,0.0,,,,,unknown,unknown
Pur jus d'orange,1 L,1.0,1.0,b,"Jardin Bio,Léa Nature","Latin America,South Africa,fr:Bassin méditerranéen",Jus d'orange issu de l'agriculture biologique.,France,"Bio, Bio européen, FR-BIO-01, Sans sucre ajouté, Nutriscore, Nutriscore B, AB Agriculture Biologique, Saveurs de l'Année, Saveurs de l'Année 2017, en:Saveurs-de-l-annee-france, Eco-conception, Fabricant-francais ",34.0,0.0,0.0,8.6,8.6,0.0,,,1.0,Beverages,Fruit juices
Pur jus d'orange bio,1 L,1.0,1.0,b,Vitamont,Agriculture UE / non UE,jus d’oranges* - *ingrédients issus de l'agriculture biologique.,France,"Bio, Bio européen, AB Agriculture Biologique, Agriculture UE/Non UE, FR-BIO-01, en:FSC, Fabriqué en France ",34.0,0.0,0.0,9.0,9.0,0.0,,,1.0,Beverages,Fruit juices
Pur jus d'orange pulpée bio,,,,,Vitamont,,,France,"Bio, Bio européen, FR-BIO-01, Sans sucre ajouté, AB Agriculture Biologique ",34.0,0.0,0.0,9.0,9.0,0.0,,,,unknown,unknown
Pur jus d'orange,,1.0,1.0,b,Vitamont,,,France,"Bio, Bio européen, AB Agriculture Biologique, Agriculture UE/Non UE, FR-BIO-01 ",34.0,0.0,0.0,8.6,8.6,0.0,,,,Beverages,Fruit juices
Pur jus d'orange de Grèce bio,1 L,1.0,1.0,b,Vitamont,Grèce,jus d'orange,France,"Bio,Bio européen,FR-BIO-01,Point Vert,AB Agriculture Biologique",34.0,0.0,0.0,8.6,8.6,0.0,,,1.0,Beverages,Fruit juices
Pur jus orange du Maroc,,1.0,1.0,b,Vitamont,,,France,,34.0,0.0,0.0,8.6,8.6,0.0,,,,Beverages,Fruit juices
Pur jus d'orange de Méditerranée bio,,1.0,1.0,b,Vitamont,,,France,Bio ,34.0,0.0,0.0,9.0,9.0,0.0,,,,Beverages,Fruit juices
luce jus d'orange de sicile bio,,,,,,,,France,"Bio, Bio européen, FR-BIO-01 ",39.0,0.20000000298023,0.0,8.5,7.9000000953674,0.0,,,,unknown,unknown
Pur jus d'orange bio SAUTTER,,3.0,3.0,c,Sautter,,jus d'orange issu de l'agriculture biologique,France,Bio ,47.0,0.20000000298023,0.10000000149012,11.0,8.1999998092651,0.007999999821186,,,1.0,Beverages,Fruit juices
Cocktail de fruits jus d'oranges pamplemousse a la framboise,,1.0,1.0,b,Ulti,,"Jus d'orange : 45%, jus de pamplemousse : 45%, purée de framboise : , Sans colorant, ni conservateur *conformément à la règlementation A conserver entre 0 et +40C",France,"Sans colorants, Sans conservateurs",42.0,0.2,0.1,8.9,7.7,0.008,,,1.0,Beverages,Unsweetened beverages
oranges à jus,2 kg,,,,,,,France,,,,,,,,,,,unknown,unknown
Le jus orange pamplemousse à la framboise,250 ml,1.0,1.0,b,"Monop' Daily,Monoprix",,Jus d'orange 45% - jus de pamplemousse 45% - purée de framboise 10%.,France,,42.0,0.2,0.1,9.0,8.7,0.004,,,1.0,Beverages,Fruit juices
100%pur jus orange flash pasteurisé,1 L,2.0,2.0,c,"Monoprix Bio,Monoprix",Espagne ?,Jus d'orange* 97% - pulpe d'orange 3%. *ingrédients issu de l'agriculture biologique,France,"Bio, Bio européen, AB Agriculture Biologique, CAERM ES-ECO-024-MU ",38.0,0.0,0.0,9.0,9.0,0.0,,0.02,1.0,Beverages,Fruit juices
Jus d'orange - à base de jus concentré,6 x 20 cl,1.0,1.0,b,Monoprix,,Jus d'orange à base de jus d'orange concentré.,France,en:FSC ,34.0,0.0,0.0,8.4,8.4,0.0,,0.05,1.0,Beverages,Fruit juices
Pur jus d'orange fraichement pressé,1 l,1.0,1.0,b,Monoprix,,JUS D'ORANGE STABILISÉ PAR HAUTE PRESSION À FROID INGRÉDIENT Jus d'orange 100%,France,,41.0,0.0,0.0,8.9,7.9,0.012,,,,Beverages,Fruit juices
Pur jus d'orange avec pulpe,1 L,2.0,2.0,c,Monoprix,,,France,"Sans colorants, Sans conservateurs",38.0,0.0,0.0,8.7,8.7,0.0,,,,Beverages,Fruit juices
100% Pur jus d'orange frais BIO,,,,,Vo,,,France,"Bio, Bio européen, AB Agriculture Biologique, FR-BIO-10 ",136.0,,1.4,,21.0,0.088,,,,Beverages,Fruit juices
Pur jus d’orange à la fraise,1 L,2.0,2.0,c,Monoprix Gourmet,,Jus d'orange 90% - purée de fraise 10%.,France,,45.0,0.2,0.1,9.8,8.5,0.012,,,1.0,Beverages,Fruit juices
Pur jus d'orange,,,,,Monoprix,,,France,,,,,,,,,,,Beverages,Fruit juices
Le jus orange carotte,,11.0,11.0,e,Monoprix,,,France,Sans conservateurs,38.0,0.0,0.0,8.8,7.0,0.0,,,,unknown,unknown
Le jus bio orange,250 ml,2.0,2.0,c,Monoprix,,,France,Bio ,43.0,0.0,0.0,9.5,8.8,0.008,,,,Beverages,Fruit juices
Pur jus d'orange fraîchement pressé,,4.0,4.0,c,Monoprix Gourmet,,,France,,44.0,0.1,0.1,9.2,9.2,0.008,,,,Beverages,Fruit juices
Pur jus d'orange fraîchement pressé à la fraise,,2.0,2.0,c,Monoprix Gourmet,,,France,,39.0,0.1,0.1,8.0,7.7,0.016,,,,Beverages,Fruit juices
